序號	機構單位名稱	原始資料集	地址	電話	資料類別	wgs84aX	wgs84aY
127	普羅藥局	藥局	嘉義市東區民權路１１４號	05-2750583	醫藥服務		
128	淳生藥局	藥局	嘉義市東區吳鳳北路100之1號	05-2247679	醫藥服務		
129	瑞昌藥局	藥局	嘉義市東區吳鳳北路３６１號	05-2784632	醫藥服務		
130	秉榮藥局	藥局	嘉義市東區東仁里中山路189-1號1樓	2251838、0955712902、05-2224320	醫藥服務		
131	晟安藥局	藥局	嘉義市東區光彩街２２２號	05-2274305	醫藥服務		
132	上安中西藥局	藥局	嘉義市東區府路里延平街２３８之１號	05-223105-	醫藥服務		
133	豐懋藥局	藥局	嘉義市東區南田路２４號	05--2283308	醫藥服務		
134	益壽藥局	藥局	嘉義市東區吳鳳南路５０號	05-2273112	醫藥服務		
135	弘昇藥局	藥局	嘉義市東區興中街１０６號	05-2282267	醫藥服務		
136	信輝藥局	藥局	嘉義市東區吳鳳南路３５３號	05-2252415	醫藥服務		
137	穎川保健藥局	藥局	嘉義市東區仁武里中山路二０四號	05-2223609	醫藥服務		
138	乙展藥局	藥局	嘉義市東區蘭井街七二號	05-2281079	醫藥服務		
139	郭藥局	藥局	嘉義市東區吳鳳南路２９號	05-2238387	醫藥服務		
140	永富藥局	藥局	嘉義市東區中央里北榮街91號	05-2279226、05-2294726	醫藥服務		
141	全民藥局	藥局	嘉義市東區林森東路289號	52777900	醫藥服務		
142	松柏藥局	藥局	嘉義市東區民權路８７號	05-2780909	醫藥服務		
143	大惠藥局	藥局	嘉義市東區新生路309號	05-2766692	醫藥服務		
144	佑健藥局	藥局	嘉義市東區光華路2-2號		醫藥服務		
145	北榮藥局	藥局	嘉義市東區北榮街二號	2280650	醫藥服務		
146	聖心藥局	藥局	嘉義市東區大雅路二段５７７號	2777189	醫藥服務		
147	聖安藥局	藥局	嘉義市東區民權路365號1樓	05-2222941	醫藥服務		
148	富善藥局	藥局	嘉義市東區新生路234號1樓	05-2759559	醫藥服務		
149	振安藥局	藥局	嘉義市東區林森東路300號1樓	05-2756541	醫藥服務		
150	維康藥局	藥局	嘉義市東區大雅路二段567號1樓	05-2757663	醫藥服務		
151	松岡藥局	藥局	嘉義市東區吳鳳北路197號	05-2163519	醫藥服務		
152	德和藥局	藥局	嘉義市東區新生路703號	05-2789940	醫藥服務		
153	國信藥品股份有限公司	藥局	嘉義市東區頂寮里南興路222號	05-2223970	醫藥服務		
154	泰和藥局	藥局	嘉義市東區中央里成仁街220巷8號		醫藥服務		
155	保健藥局	藥局	嘉義市東區義教里保建街161號	05-2712959	醫藥服務		
156	誠泰藥師藥局	藥局	嘉義市東區安寮里興業東路56號1樓	05-2168905	醫藥服務		
157	仁藥集藥局	藥局	嘉義市東區太平里新生路539號	05-2755533	醫藥服務		
158	吳鳳藥局	藥局	嘉義市東區吳鳳南路585號	05-2396800	醫藥服務		
159	杏光藥局	藥局	嘉義市東區保建街147號附4	05-2745642	醫藥服務		
160	民族弘安藥局	藥局	嘉義市東區朝陽里民族路165號	05-2240101	醫藥服務		
161	德風藥局	藥局	嘉義市東區仁義里台林街108-4號1樓	05-2716233	醫藥服務		
162	昱安藥局	藥局	嘉義市東區成仁街180號	05-2283035	醫藥服務		
163	後庄弘安藥局	藥局	嘉義市東區吳鳳南路298號1樓	05-2305678	醫藥服務		
164	一心藥局	藥局	嘉義市東區開明里垂楊路29號	05-2271091	醫藥服務		
165	大明藥局	藥局	嘉義市東區大雅路二段682號	05-2760958	醫藥服務		
166	大樹藥局	藥局	嘉義市東區林森東路470巷5號	05-2767179	醫藥服務		
167	柏樟藥局	藥局	嘉義市東區彌陀路258號	05-2743671	醫藥服務		
168	百佑藥局	藥局	嘉義市東區公明路82號1樓	05-2757387	醫藥服務		
169	大雅藥局	藥局	嘉義市東區長竹里大雅路二段487號	937657877	醫藥服務		
170	仁泰藥局	藥局	嘉義市東區和平路９號	05-2289133	醫藥服務		
171	謝享景中西藥局	藥局	嘉義市西區仁愛路311號	2853618、05-2343785	醫藥服務		
172	新興安藥局	藥局	嘉義市西區培元里成功街83號	05-2282798	醫藥服務		
173	欣宏藥局	藥局	嘉義市西區書院里仁愛路576號1、2樓	05-2243983	醫藥服務		
174	永安藥局	藥局	嘉義市西區信義路４９之１號	05-2358368	醫藥服務		
175	豐安藥局	藥局	嘉義市西區老吸街３７號	05-2352410	醫藥服務		
176	新宏祥藥局	藥局	嘉義市西區民生南路５７４號	05-2355588	醫藥服務		
177	力健藥局	藥局	嘉義市西區文化路591號	05-2323217	醫藥服務		
178	鑫興藥局	藥局	嘉義市東區新民路８５３號	52256363	醫藥服務		
179	邱藥局	藥局	嘉義市東區光彩街１８７號	05-2228358	醫藥服務		
180	安泰藥局	藥局	嘉義市東區民族路１８１號	05-2830008	醫藥服務		
181	源豪藥局	藥局	嘉義市東區光華路８２號	2169696	醫藥服務		
182	德昌藥局	藥局	嘉義市東區中央里吳鳳北路211號	05-2280306	醫藥服務		
183	明正藥局	藥局	嘉義市東區林森東路３５９號	05-2762830	醫藥服務		
184	慶義興藥局	藥局	嘉義市東區東義路４０號	05-2769713	醫藥服務		
185	東芳藥局	藥局	嘉義市東區蘭井街六二號	05-2271236	醫藥服務		
186	博生藥局	藥局	嘉義市東區南田路２號	05-2350081	醫藥服務		
187	明德藥局	藥局	嘉義市東區共和路１０２號	05-2226283	醫藥服務		
188	壽生堂藥局	藥局	嘉義市東區府路里延平街２８０號	05-2225058	醫藥服務		
189	三安藥局	藥局	嘉義市東區民族路151號	05-2279936	醫藥服務		
190	惠春藥局	藥局	嘉義市東區宣信里宣信街４６４號	05-2273726	醫藥服務		
191	慈生內科傷科中醫診所	診所	嘉義市西區學圃里民生北路２０號	52252278	醫藥服務		
192	中和內科傷科中醫診所	診所	嘉義市西區民族路806號	05 2273543	醫藥服務		
193	金德中醫診所	診所	嘉義市西區北興街２８８號	05 2325118	醫藥服務		
194	李中醫診所	診所	嘉義市西區杭州三街２１號	05 2852059	醫藥服務		
195	杏林堂中醫診所	診所	嘉義市西區民生南路５５０號	05 2353309	醫藥服務		
196	張福泉中醫診所	診所	嘉義市西區北興街１７４號	05 2320181	醫藥服務		
197	蔡國忠中醫診所	診所	嘉義市西區仁愛路２９７號	05 2854696	醫藥服務		
198	聖林中醫診所	診所	嘉義市西區自由路３１２號	05 2320581	醫藥服務		
199	迦南中醫診所	診所	嘉義市西區保安里竹圍路１２３號	05 2332414	醫藥服務		
200	洪鳳鳴中醫診所	診所	嘉義市西區博愛路一段207號	05 2321091	醫藥服務		
201	大成中醫診所	診所	嘉義市西區書院里新榮路307號1至2樓	05 2222635	醫藥服務		
202	建成中醫診所	診所	嘉義市西區建成街７３之２號	05 2866058	醫藥服務		
203	養心齋中醫診所	診所	嘉義市西區八德路56號	05 2341971	醫藥服務		
204	建民堂中醫診所	診所	嘉義市西區光路里民生南路４３０號	05 2831318	醫藥服務		
205	朝榮中醫診所	診所	嘉義市西區仁愛路３０１號	05 2855888	醫藥服務		
206	新民中醫診所	診所	嘉義市西區新民路703號2樓	05-2837170	醫藥服務		
207	正慶中醫診所	診所	嘉義市西區仁愛路372號	05-2270130	醫藥服務		
208	嘉冠中醫診所	診所	嘉義市西區忠義街174號	05-2222354	醫藥服務		
209	德隆中醫診所	診所	嘉義市西區友順街85號	05-2315556	醫藥服務		
210	仲聖中醫診所	診所	嘉義市西區興業西路85號地下一樓	52270513	醫藥服務		
211	百安堂中醫診所	診所	嘉義市西區興達路158號1樓	05-2321355	醫藥服務		
212	復安堂中醫診所	診所	嘉義市西區蘭井街316號之2	05-2231858	醫藥服務		
213	儒佑中醫診所	診所	嘉義市西區忠義街135號	05-2744973	醫藥服務		
214	銘冠中醫診所	診所	嘉義市西區民族路650號.新榮路110號	05-2273311	醫藥服務		
215	慈仁中醫診所	診所	嘉義市西區志昇街71號1樓	05-2258837	醫藥服務		
216	宏信中醫診所	診所	嘉義市西區竹圍里興達路474號1樓	05-2318467	醫藥服務		
217	恕安中醫診所	診所	嘉義市西區永和里廣寧街13號1樓	05-2221150	醫藥服務		
218	榮光中醫診所	診所	嘉義市西區民生北路271號1、2樓	52163316	醫藥服務		
219	星嘉中醫診所	診所	嘉義市西區車店里上海路167號1樓	2836969	醫藥服務		
220	寶芝琳中醫診所	診所	嘉義市西區永和街69-1號1樓	05-2273205	醫藥服務		
221	安和中醫診所	診所	嘉義市西區新厝里友忠路935之1號1樓	05-2331959	醫藥服務		
222	寶雅中醫診所	診所	嘉義市西區興業西路149號一樓	05-2352200	醫藥服務		
223	季德中醫診所	診所	嘉義市西區民族路542號1樓	2253209.094	醫藥服務		
224	康慧中醫診所	診所	嘉義市西區興業西路154號1樓	05-2361836	醫藥服務		
225	慶昇中醫診所	診所	嘉義市西區北榮街217號1樓	05-2223112	醫藥服務		
226	兆春中醫診所	診所	嘉義市東區林森東路82號	05 2752282	醫藥服務		
227	濟世中醫診所	診所	嘉義市東區林森東路800號、802號1樓	05-2740868	醫藥服務		
228	建生中醫診所	診所	嘉義市東區吳鳳北路二一三號一樓	05-2225015	醫藥服務		
229	中孚中醫診所	診所	嘉義市東區太平里博東路289號1樓	05-2778692	醫藥服務		
230	天仁堂中醫診所	診所	嘉義市東區吳鳳南路579號	05-2301900	醫藥服務		
231	金陵中醫診所	診所	嘉義市東區吳鳳北路353號之1一樓	05-2759014	醫藥服務		
232	天祥中醫診所	診所	嘉義市東區中山路210號	05-2253607	醫藥服務		
233	吉祥中醫診所	診所	嘉義市東區興業東路317號	2230229	醫藥服務		
234	立仁中醫診所	診所	嘉義市東區安寮里立仁路331號1樓	52232188	醫藥服務		
235	慈護誠品中醫診所	診所	嘉義市東區大雅路二段432號1樓	05-2711277	醫藥服務		
236	慶瑞堂中醫診所	診所	嘉義市東區林森東路428號1樓嘉義市林森東路428號1樓	05-2782785	醫藥服務		
237	林臻瑋中醫診所	診所	嘉義市東區民權路120-6號1樓	2779867	醫藥服務		
